Run #,Date,Shifter,step/config,E2V Sequencer file,ITL Sequencer File,Corner Sequencer File,CCS Distribution,HV on?,Zephyr Comments,Status,Web report,User comments
E955,2024-09-16 18:14:43,Sean Patrick MacBride,step02/D_protocol,,,,,,,Skip,https://s3df.slac.stanford.edu/data/rubin/lsstcam/E955/w_2024_35/,
E970,2024-09-16 12:50:50,Sean Patrick MacBride,step02/B_protocol,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26_no_RG.seq,FP_ITL_2s_ir2_v26_no_RG.seq,1.0.13-SNAPSHOT,,"LOCATIONS = R01,R03,R10,R20,R30,R41,R43,R34,R24,R14,R02,R12,R22,R23, HV on R01/Reb0,1 and R22/Reb1",Skip,https://s3df.slac.stanford.edu/data/rubin/lsstcam/E970/w_2024_35/,
E969,2024-09-15 22:17:04,Sean Patrick MacBride,step02/sflat,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26_no_RG.seq,FP_ITL_2s_ir2_v26_no_RG.seq,1.0.13-SNAPSHOT,,"First HV run, HV on R01/Reb1 &amp; Reb 0, R22/Reb1, LOCATIONS = R01,R03,R10,R20,R30,R41,R43,R34,R24,R14,R02,R12,R22,R23",Skip,https://s3df.slac.stanford.edu/data/rubin/lsstcam/E969/w_2024_35/,
E968,2024-09-15 21:02:04,Sean Patrick MacBride,step02/B_protocol,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26_no_RG.seq,FP_ITL_2s_ir2_v26_no_RG.seq,1.0.13-SNAPSHOT,,"Locations specified, shutter open, Using calib2.cfg",Skip,https://s3df.slac.stanford.edu/data/rubin/lsstcam/E968/w_2024_35/,
E965,2024-09-15 15:02:37,Sean Patrick MacBride,step11/Dense_Linear_PTC,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26.seq,1.0.13-SNAPSHOT,,"Shutter open for entire sequence, LOCATIONS=R01,R03,R10,R20,R30,R41,R43,R34,R24,R14,R02,R12,R22,R23, Restarted on 9/15 at test seq num 732",In Progress,https://s3df.slac.stanford.edu/data/rubin/lsstcam/E965/w_2024_35/,
E967,2024-09-15 14:55:48,Sean Patrick MacBride,step01/bias10,FP_E2V_2s_ir2_v26.seq,FP_ITL_2s_ir2_v26_no_RG.seq,FP_ITL_2s_ir2_v26_no_RG.seq,1.0.13-SNAPSHOT,,,Skip,https://s3df.slac.stanford.edu/data/rubin/lsstcam/E967/w_2024_35/,
E966,2024-09-15 14:46:32,Sean Patrick MacBride,step01/bias10,FP_E2V_2s_ir2_v26.seq,,,1.0.13-SNAPSHOT,,"Taking 10 biases, LOCATIONS=R01,R03,R10,R20,R30,R41,R43,R34,R24,R14,R02,R12,R22,R23",Skip,https://s3df.slac.stanford.edu/data/rubin/lsstcam/E966/w_2024_35/,
